Aeronave,Destination_Type,Origin_Type,Capacity,Passengers,Bookings,Route,STD_Month,STA_Month,STD_Block,STA_Block
XA-VBV,2,1,220,,,3,2,2,18,18
XA-VAV,3,1,186,,,4,1,1,9,10
XA-VIY,3,1,186,,,10,3,3,11,14
XA-VXC,2,2,240,,,2,4,4,1,5
XA-VII,1,1,186,,,13,2,2,8,10
XA-VII,3,1,186,,,10,3,3,11,14
9H-MLY,3,1,178,,,4,4,4,18,19
9H-SWJ,2,4,178,,,14,4,4,18,20
XA-VBT,2,1,220,,,3,4,4,20,21
9H-SWI,3,1,178,,,6,2,2,13,13
9H-SWF,3,1,178,,,6,2,2,13,13
XA-VAI,3,1,180,,,9,1,1,7,8
XA-VXO,2,1,240,,,16,1,1,12,12
XA-VIT,3,1,186,,,6,1,1,13,13
XA-VAC,2,1,180,,,19,4,4,8,10
XA-VYD,3,1,180,,,9,1,1,15,17
XA-VYF,1,1,180,,,13,1,1,8,10
XA-VIE,3,1,186,,,21,1,1,9,10
XA-VXF,2,1,240,,,7,4,4,6,8
XA-VAM,1,1,180,,,13,4,4,9,12
XA-VXP,2,2,240,,,2,3,3,1,5
XA-VAO,2,4,186,,,14,2,2,8,9
XA-VAP,1,1,186,,,13,4,4,9,12
XA-VBZ,2,2,236,,,2,1,1,1,6
XA-VXF,2,1,240,,,19,3,3,10,12
XA-VIY,2,2,186,,,2,1,1,1,6
XA-VYB,3,1,180,,,10,3,3,11,14
XA-VXK,2,1,240,,,16,4,4,14,16
XA-VII,3,1,186,,,10,4,4,11,14
XA-VBH,2,1,240,,,19,3,3,11,14
9H-AMJ,3,1,178,,,4,3,3,9,10
XA-VCC,2,1,230,,,7,1,1,6,8
9H-MLV,3,3,178,,,5,2,2,18,19
XA-VAU,2,1,186,,,19,3,3,12,14
9H-SWG,3,4,178,,,11,4,4,19,21
XA-VIY,3,1,186,,,10,3,3,11,14
XA-VXC,2,1,240,,,18,2,2,18,20
XA-VAP,3,1,186,,,9,1,1,7,8
XA-VXH,2,2,240,,,2,4,4,1,5
XA-VAV,1,1,186,,,1,1,1,12,14
XA-VAJ,2,1,186,,,16,4,4,14,16
9H-AMP,2,1,178,,,16,3,3,12,13
XA-VCC,3,1,230,,,4,4,4,13,14
XA-VXQ,2,1,240,,,7,4,4,6,8
XA-VIE,3,1,186,,,10,3,3,11,14
XA-VXO,2,2,240,,,2,3,3,1,6
XA-VBU,2,1,220,,,19,3,3,12,14
XA-VAM,3,1,180,,,10,2,2,11,14
XA-VXD,2,2,240,,,2,3,3,1,5
XA-VAO,2,4,186,,,14,1,1,8,9
XA-VBZ,2,1,236,,,19,1,1,11,14
9H-SWD,2,4,178,,,14,4,4,18,20
9H-MLX,3,1,178,,,21,4,4,16,17
XA-VIX,2,1,186,,,17,4,4,11,12
9H-MLC,3,1,178,,,6,1,1,13,13
9H-SWF,3,1,178,,,6,2,2,13,13
9H-SWJ,3,1,178,,,4,2,2,9,10
XA-VBV,2,1,220,,,17,2,2,19,20
9H-AMP,3,1,178,,,4,4,4,18,19
XA-VIY,1,1,186,,,13,4,4,9,12
