Flight_ID,Passengers,Destination_Type,Origin_Type,Capacity,Bookings,Route,Flight_Duration,Hora_Salida_Redondeado,Month
0000c5ba279c7225e9f6bac8490678e1,,Playa,Ciudad Principal,220,,AT-BD,100.0,15,3
000158c9b43de5c11cb46d96b0501f2e,,Ciudad Principal,MX Amigos y Familia,178,,BN-AW,100.0,18,4
0005bc7d23da6c5f32537dba8779ad1b,,Ciudad Principal,MX Amigos y Familia,186,,BQ-AW,125.0,14,4
0005ccfc27398499603bf18827ddb892,,Ciudad Principal,Ciudad Principal,220,,AT-AW,110.0,18,3
0005d2ee26b96255f2a042e01309b9e8,,Playa,Ciudad Principal,230,,AT-BE,75.0,11,4
0006cad71e2fa5548a3cf306316c90b0,,Ciudad Principal,Ciudad Fronteriza,178,,BM-AO,230.0,11,4
00072e6828cba239e1ec7a36b9e1eecc,,Ciudad Principal,MX Amigos y Familia,240,,BP-AW,95.0,23,2
000770f5475f74331c5f47970bae3e5e,,Ciudad Principal,Ciudad Fronteriza,240,,BM-AT,325.0,18,1
000a794fd1fe05046d6357eb19035837,,Ciudad Principal,Playa,178,,AQ-BA,95.0,15,4
000c6aa26518ea83de4c35c288a7cf1b,,Ciudad Fronteriza,Playa,240,,AY-BM,150.0,20,4
000ccecdaefd0bb3dcf9e3bfedd28416,,Ciudad Principal,Ciudad Principal,180,,AO-AW,85.0,19,1
000d1541031f9f82d3647a68fe1fcb64,,Playa,Ciudad Fronteriza,240,,AF-AY,100.0,16,2
000f8b6b2e5c2aca9871b4e822cd7473,,Playa,Ciudad Principal,180,,BA-BD,90.0,15,3
0010cb476c62afd750d265112be62764,,Ciudad Principal,Ciudad Fronteriza,178,,BM-AO,290.0,13,3
0011273735706cbb62456f251a960b9d,,Playa,Ciudad Principal,178,,AW-AY,30.0,16,3
00117cbfb89bc191977a6047b4073031,,Ciudad Principal,MX Amigos y Familia,186,,BQ-AT,100.0,23,3
0012013439cd8637c25dcc06fa36ff67,,MX Amigos y Familia,Ecoturismo,240,,AU-BN,120.0,14,4
0013ff167a602d47a64e209992f94403,,Playa,Ciudad Principal,178,,AW-AK,200.0,13,3
